grid_id,size_category,datetime,total_deposit_median,trade_count,BASE_RATE,CPI_YOY,deposit_lag_1,deposit_lag_3,deposit_lag_6,deposit_lag_9,base_rate_lag_3,base_rate_lag_6,base_rate_lag_9,cpi_yoy_lag_3,cpi_yoy_lag_6,cpi_yoy_lag_9,base_rate_diff_3,target_3m,target_6m,target_9m,target_12m,ym,trans_index,conv_index,env_index,safety_score_scaled,grid_crime_index,future_price,price_change_pct,mlp_value_score,value_component,momentum_component,vfm_index,horizon
GRID_02226,소형,2024-12-01,6727.758200159164,1.0,3.165888888888889,2.3571934783095827,76578.61373791957,48431.205530932784,41883.57110296789,67279.08914454655,3.440111111111111,3.696703703703704,3.762592592592593,2.3699385013489227,2.685221825279349,3.8308912793061145,-0.2742222222222219,47193.10130782557,99994.13666206344,46318.84327059206,62978.739083975095,2024-12,0.057822232457626,0.0127475908445478,0.0284597789005528,0.1008771929824561,0.0010122130396646,50635.624164566274,652.6373965605414,-0.08353338,-0.12416227511465973,7.526373965605415,2.9360522211733704,6m
GRID_01864,대형,2024-12-01,13114.651667993032,1.0,3.165888888888889,2.3571934783095827,39733.21533113503,92970.34265741904,147712.02349326355,152225.6840219449,3.440111111111111,3.696703703703704,3.762592592592593,2.3699385013489227,2.685221825279349,3.8308912793061145,-0.2742222222222219,53590.15776385916,94065.66385972527,134541.1699555914,175016.67605145753,2024-12,0.020324040729643,0.0149296959850648,0.0623432620398503,0.2236842105263158,0.000772637279173,96160.72597369926,633.2312623169729,-0.082515694,-0.06291870824322104,7.332312623169729,2.8951738243219594,6m
GRID_03671,소형,2024-12-01,5862.102467038048,6.0,3.165888888888889,2.3571934783095827,38231.16491738543,50955.45434121035,46724.53530631749,46659.16832701331,3.440111111111111,3.696703703703704,3.762592592592593,2.3699385013489227,2.685221825279349,3.8308912793061145,-0.2742222222222219,38177.29139894372,54496.40870551385,44324.08847216098,55847.44661497813,2024-12,0.0243839861169036,0.0114811276702319,0.0535150780512501,0.0307017543859649,0.0015571654192571,41560.16957629861,608.9635469524259,-0.102619916,-0.17505650366512393,7.089635469524259,2.7308202856106294,6m
GRID_02047,대형,2024-12-01,11914.651667993032,3.0,3.165888888888889,2.3571934783095827,74969.5832900343,66733.1929190932,118726.84658444452,96162.59309029748,3.440111111111111,3.696703703703704,3.762592592592593,2.3699385013489227,2.685221825279349,3.8308912793061145,-0.2742222222222219,26298.28945186585,40681.927235738665,55065.56501961148,129118.55156581626,2024-12,0.0887925968582607,0.1228522352636312,0.0220952406437888,0.3859649122807017,3.038760664444724e-05,75934.02369512414,537.3163547794668,-0.105049625,-0.08816843997319794,6.373163547794669,2.4963643551339487,6m
GRID_01099,대형,2024-12-01,9291.721334394426,1.0,3.165888888888889,2.3571934783095827,50403.20066507326,73361.90018387436,71591.43364258733,67438.06218611772,3.440111111111111,3.696703703703704,3.762592592592593,2.3699385013489227,2.685221825279349,3.8308912793061145,-0.2742222222222219,42033.60495606249,73746.51864310016,74104.90403137836,80169.35937973752,2024-12,0.0224640141801535,0.0179441581431333,0.0560678167300282,0.0350877192982456,0.0001439729897447,58493.542035268925,529.5232059828144,-0.10291562,-0.11076055618779111,6.295232059828143,2.4516364902185828,6m
GRID_03693,중형,2024-12-01,4745.860667197213,1.0,3.165888888888889,2.3571934783095827,20395.16996094572,31337.94244398603,33277.775971809555,31882.945562054112,3.440111111111111,3.696703703703704,3.762592592592593,2.3699385013489227,2.685221825279349,3.8308912793061145,-0.2742222222222219,27400.24186678782,24497.06833103172,26513.11300392229,25535.4655661594,2024-12,0.0602489836991619,0.0591340600354459,0.0308390487580196,0.3552631578947368,0.000349666419468,27288.887708428578,475.0039797216532,-0.07751812,-0.16333838231672831,5.750039797216532,2.202012889496576,6m
GRID_03003,소형,2024-12-01,6933.516400318327,2.0,3.165888888888889,2.3571934783095827,66579.28920295126,55234.87061130288,8925.925323936519,7723.114853139661,3.440111111111111,3.696703703703704,3.762592592592593,2.3699385013489227,2.685221825279349,3.8308912793061145,-0.2742222222222219,9193.425685061246,57496.70187241068,70052.45201568918,65084.67968986876,2024-12,0.0743799246210335,0.0448812481859657,0.0327778981299938,0.2061403508771929,5.214748964517941e-05,35449.942830189364,411.28375247748477,-0.08336944,-0.1202412116983026,5.112837524774847,1.9729902828909576,6m
GRID_02872,대형,2024-12-01,11181.274600477493,1.0,3.165888888888889,2.3571934783095827,61374.31154525616,62573.11491586237,61990.738633777815,57895.10894016324,3.440111111111111,3.696703703703704,3.762592592592593,2.3699385013489227,2.685221825279349,3.8308912793061145,-0.2742222222222219,56100.81486818746,55492.304368958256,72138.0478894151,59762.63698185126,2024-12,0.0749115516896088,0.0335892279810319,0.0438463145844624,0.175438596491228,6.22098124415655e-05,56412.96628378476,404.53072927281164,-0.086307265,-0.07718911121345594,5.0453072927281175,1.9718094503631733,6m
GRID_01528,중형,2024-12-01,7468.791000795819,2.0,3.165888888888889,2.3571934783095827,30201.60033253663,48551.15295847715,41064.813309841295,41029.95051095828,3.440111111111111,3.696703703703704,3.762592592592593,2.3699385013489227,2.685221825279349,3.8308912793061145,-0.2742222222222219,43143.68644288123,36247.61801896327,44772.399075787485,37342.31385628275,2024-12,0.0615737945876484,0.0376311215217372,0.0162600068750961,0.7543859649122807,1.56565580285839e-05,35590.6964947925,376.5255379485143,-0.10924429,-0.14626769848341895,4.765255379485143,1.8183415327040058,6m
GRID_04364,소형,2024-12-01,7980.344266878885,1.0,3.165888888888889,2.3571934783095827,17733.111295853683,42867.1289393599,45277.77597180956,51235.94061314994,3.440111111111111,3.696703703703704,3.762592592592593,2.3699385013489227,2.685221825279349,3.8308912793061145,-0.2742222222222219,14073.547915289364,64993.40374482136,70157.35604706756,23104.89322995625,2024-12,0.3000402999785666,0.0075719868910149,0.0376462384389231,0.2368421052631578,0.0001169618584609,37152.26795474634,365.54718333318976,-0.08112196,-0.10165220456577677,4.655471833331898,1.8011974105932933,6m
